pop2000,county_id,cz,czname,state_id,stateabbrv
43671,1001,11101,Montgomery,1,AL
140415,1003,11001,Mobile,1,AL
29038,1005,10301,Eufaula,13,GA
20826,1007,10801,Tuscaloosa,1,AL
51024,1009,10700,Birmingham,1,AL
11714,1011,9800,Auburn,1,AL
21399,1013,11101,Montgomery,1,AL
112249,1015,9600,LaGrange,13,GA
36583,1017,9600,LaGrange,13,GA
23988,1019,6600,Rome,13,GA
39593,1021,10700,Birmingham,1,AL
15922,1023,10802,Demopolis,1,AL
27867,1025,11001,Mobile,1,AL
14254,1027,9500,Talladega,1,AL
14123,1029,9600,LaGrange,13,GA
43615,1031,10302,Dothan,1,AL
54984,1033,6200,Florence,1,AL
14089,1035,11002,Atmore,1,AL
12202,1037,9500,Talladega,1,AL
37631,1039,11102,Troy,1,AL
13665,1041,11102,Troy,1,AL
77483,1043,10700,Birmingham,1,AL
49129,1045,10302,Dothan,1,AL
46365,1047,10801,Tuscaloosa,1,AL
64452,1049,6100,Gadsden,1,AL
65874,1051,11101,Montgomery,1,AL
38440,1053,11002,Atmore,1,AL
103459,1055,6100,Gadsden,1,AL
18495,1057,10600,Jasper,1,AL
31223,1059,6200,Florence,1,AL
25764,1061,10302,Dothan,1,AL
9974,1063,10802,Demopolis,1,AL
17185,1065,10801,Tuscaloosa,1,AL
16310,1067,10302,Dothan,1,AL
88787,1069,10302,Dothan,1,AL
53926,1071,6100,Gadsden,1,AL
662047,1073,10700,Birmingham,1,AL
15904,1075,10600,Jasper,1,AL
87966,1077,6200,Florence,1,AL
34803,1079,6000,Huntsville,1,AL
115092,1081,9800,Auburn,1,AL
65676,1083,6000,Huntsville,1,AL
13473,1085,11101,Montgomery,1,AL
24105,1087,9800,Auburn,1,AL
276700,1089,6000,Huntsville,1,AL
22539,1091,10802,Demopolis,1,AL
31214,1093,10600,Jasper,1,AL
82231,1095,6100,Gadsden,1,AL
399843,1097,11001,Mobile,1,AL
24324,1099,11002,Atmore,1,AL
223510,1101,11101,Montgomery,1,AL
111064,1103,6000,Huntsville,1,AL
11861,1105,10801,Tuscaloosa,1,AL
20949,1107,10501,Columbus,28,MS
29605,1109,11102,Troy,1,AL
22380,1111,9600,LaGrange,13,GA
49756,1113,9701,Columbus,13,GA
64742,1115,10700,Birmingham,1,AL
143293,1117,10700,Birmingham,1,AL
14798,1119,10802,Demopolis,1,AL
80321,1121,9500,Talladega,1,AL
41475,1123,9500,Talladega,1,AL
164875,1125,10801,Tuscaloosa,1,AL
70713,1127,10600,Jasper,1,AL
18097,1129,11001,Mobile,1,AL
13183,1131,11001,Mobile,1,AL
24843,1133,10600,Jasper,1,AL
2697,2013,34101,Sand Point,2,AK
5465,2016,34114,Unalaska,2,AK
260283,2020,34102,Anchorage,2,AK
16006,2050,34112,Bethel,2,AK
1258,2060,34104,Bristol Bay,2,AK
1893,2068,34115,Fairbanks,2,AK
4922,2070,34107,Dillingham,2,AK
82840,2090,34115,Fairbanks,2,AK
2392,2100,34109,Juneau,2,AK
30711,2110,34109,Juneau,2,AK
49691,2122,34102,Anchorage,2,AK
14070,2130,34111,Ketchikan,2,AK
13913,2150,34108,Kodiak,2,AK
1823,2164,34107,Dillingham,2,AK
59322,2170,34102,Anchorage,2,AK
9196,2180,34106,Nome,2,AK
7385,2185,34113,Barrow,2,AK
7208,2188,34105,Kotzebue,2,AK
6146,2201,34111,Ketchikan,2,AK
8835,2220,34110,Sitka,2,AK
3436,2232,34109,Juneau,2,AK
6174,2240,34115,Fairbanks,2,AK
10195,2261,34103,Valdez,2,AK
7028,2270,34112,Bethel,2,AK
6684,2280,34110,Sitka,2,AK
808,2282,34109,Juneau,2,AK
6551,2290,34115,Fairbanks,2,AK
69423,4001,35500,Gallup,4,AZ
117755,4003,35100,Tucson,4,AZ
116320,4005,35401,Flagstaff,4,AZ
51335,4007,35001,Phoenix,4,AZ
33489,4009,35002,Safford,4,AZ
8547,4011,35002,Safford,4,AZ
19715,4012,38300,Los Angeles,6,CA
3072149,4013,35001,Phoenix,4,AZ
155032,4015,37901,Las Vegas,32,NV
97470,4017,35500,Gallup,4,AZ
843746,4019,35100,Tucson,4,AZ
179727,4021,35001,Phoenix,4,AZ
38381,4023,35100,Tucson,4,AZ
167517,4025,35401,Flagstaff,4,AZ
160026,4027,38100,Yuma,6,CA
20749,5001,4301,Stuttgart,5,AR
24209,5003,4101,Crossett,5,AR
38386,5005,25101,Mountain Home,5,AR
153406,5007,30300,Fayetteville,5,AR
33948,5009,25103,Harrison,5,AR
12600,5011,4102,Pine Bluff,5,AR
5744,5013,4103,El Dorado,5,AR
25357,5015,25103,Harrison,5,AR
14117,5017,4102,Pine Bluff,5,AR
23546,5019,34001,Hot Springs,5,AR
17609,5021,25900,Jonesboro,5,AR
24046,5023,25104,Heber Springs,5,AR
8571,5025,4102,Pine Bluff,5,AR
25603,5027,4001,Magnolia,5,AR
20336,5029,4200,Little Rock,5,AR
82148,5031,25900,Jonesboro,5,AR
53247,5033,30100,Fort Smith,5,AR
50866,5035,5300,West Memphis,5,AR
19526,5037,5300,West Memphis,5,AR
9210,5039,4103,El Dorado,5,AR
15341,5041,4102,Pine Bluff,5,AR
18723,5043,4102,Pine Bluff,5,AR
86014,5045,4200,Little Rock,5,AR
17771,5047,30000,Russellville,5,AR
11642,5049,25102,West Plains,29,MO
88068,5051,34001,Hot Springs,5,AR
16464,5053,4200,Little Rock,5,AR
37331,5055,25900,Jonesboro,5,AR
23587,5057,34001,Hot Springs,5,AR
30353,5059,34001,Hot Springs,5,AR
14300,5061,34001,Hot Springs,5,AR
34233,5063,25105,Batesville,5,AR
13249,5065,25105,Batesville,5,AR
18418,5067,4302,Searcy,5,AR
